https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT
1619080200,2021-04-22 08:30:00,BTC/USDT,53641.492723,53836.41018846,53129.036219,53635.17729255,2130426.88099778,39.86077362
1619078400,2021-04-22 08:00:00,BTC/USDT,54117.15839551,54230.99999999,53321.92913243,53642.05688299,1713365.18154773,31.86489089
1619076600,2021-04-22 07:30:00,BTC/USDT,54210.37389004,54448.0020449,54100.07940685,54119.38113517,419325.57896644,7.72858522
1619074800,2021-04-22 07:00:00,BTC/USDT,54457.11374671,54584.79693995,54108.52704592,54210.287415,545903.96301922,10.06483363
1619073000,2021-04-22 06:30:00,BTC/USDT,54659.32752,54688.35581933,54380.17602095,54457.11374671,459356.80729639,8.42805521
1619071200,2021-04-22 06:00:00,BTC/USDT,54462.16860262,54845.2086,54377.14982714,54653.82972,1156802.23078077,21.17129978
1619069400,2021-04-22 05:30:00,BTC/USDT,54158.51157063,54582.73720329,54025.96491557,54450.0,664707.68167573,12.23045761
1619067600,2021-04-22 05:00:00,BTC/USDT,54273.90375565,54399.93431262,54060.67131497,54180.51568692,404540.31161156,7.45958141
1619065800,2021-04-22 04:30:00,BTC/USDT,54266.0,54327.59702755,53864.71374645,54261.34746979,593103.2054046,10.95429421
1619064000,2021-04-22 04:00:00,BTC/USDT,53456.16994446,54315.78309765,53428.13314358,54263.28678342,620351.31493903,11.50888025
1619062200,2021-04-22 03:30:00,BTC/USDT,53805.8227,53883.74122175,53271.51360003,53457.35964528,3885847.80681198,72.62773146
1619060400,2021-04-22 03:00:00,BTC/USDT,53744.49813316,54125.65207889,53660.47700456,53812.1390981,432950.95183734,8.02641449
1619058600,2021-04-22 02:30:00,BTC/USDT,53449.0,53865.84860857,53315.34538414,53755.87577724,658422.06049143,12.27246083
1619056800,2021-04-22 02:00:00,BTC/USDT,53909.69757451,53948.9726607,52618.84680664,53447.47096001,2788279.13987871,52.6218139
1619055000,2021-04-22 01:30:00,BTC/USDT,54394.36620515,54418.0,53909.07285523,53909.07285523,410284.04588391,7.56144396
1619053200,2021-04-22 01:00:00,BTC/USDT,54074.76270301,54609.09660983,54063.905961,54407.87600451,487164.61646249,8.95490379
1619051400,2021-04-22 00:30:00,BTC/USDT,53951.9332364,54145.37581309,53757.07180237,54074.76270301,585813.64784324,10.85928803
1619049600,2021-04-22 00:00:00,BTC/USDT,53771.94424069,54049.46171971,53222.39004395,53937.17578082,2043230.88415298,38.15041884
1619047800,2021-04-21 23:30:00,BTC/USDT,53886.53084356,54292.44256999,53726.21900438,53771.35421582,743998.58754457,13.77219447
